序号,歌曲ID,歌手,歌名,评论数,歌词字数,下载时间
1,3340673351,备忘录,烟花易冷,8714,935,2026-05-30 15:15:13
2,3324117652,漫游会议室,菩萨鱼,6086,1050,2026-05-30 15:15:13
3,3336849311,微醺Susie,雨蝶,2141,696,2026-05-30 15:15:13
4,3366345086,江越,李白,20,866,2026-05-30 15:15:13
5,2758215291,陈文杰的音悦,爱要坦荡荡,238,1888,2026-05-30 15:15:13
6,3339236911,郑昊祐,烟花易冷R&B,942,547,2026-05-30 15:15:13
7,3334694777,梦境里的算法,我是真的爱上你,19,785,2026-05-30 15:15:13
8,3339529099,基米诺苏,跳楼机,18,1123,2026-05-30 15:15:13
9,3338534280,梦境里的算法,我的心太乱,87,990,2026-05-30 15:15:13
10,3354317958,抽乐个大象,再回首 (赛博科比),15,892,2026-05-30 15:15:13
11,3333071193,江越,偏爱 (R&B),42,867,2026-05-30 15:15:13
12,3350605229,淘子宿舍,春风吹,1470,576,2026-05-30 15:15:13
13,3335273844,鱼忆,至少还有你,29,868,2026-05-30 15:15:13
14,3348571658,鱼忆,有多少爱可以重来,4,906,2026-05-30 15:15:13
15,3347582323,抽乐个大象,爱我别走 (AI詹姆斯),188,794,2026-05-30 15:15:13
16,3382000657,shushushu,月下煮茶（普通话ver.）,23,647,2026-05-30 15:15:13
17,3335858088,余翊,偏爱,22,867,2026-05-30 15:15:13
18,3330138901,江越,爱错 (R&B),18,727,2026-05-30 15:15:13
19,3324457612,大眼仔,弱水三千（爱的桥段叫我怎么写）,278,704,2026-05-30 15:15:13
20,3339854902,江越,李白（R&B）,51,1045,2026-05-30 15:15:13
